iter	Passed	Remaining
0	1	117
1	2	102
2	2	96
3	3	91
4	4	88
5	5	86
6	6	84
7	7	81
8	7	80
9	8	78
10	10	83
11	11	81
12	11	80
13	13	83
14	14	83
15	15	81
16	16	80
17	17	78
18	18	77
19	18	75
20	19	73
21	20	72
22	21	71
23	22	69
24	22	68
25	23	68
26	24	66
27	25	65
28	26	64
29	26	62
30	27	61
31	28	59
32	29	60
33	30	58
34	30	57
35	31	55
36	31	54
37	32	53
38	33	51
39	33	50
40	34	48
41	34	47
42	35	46
43	35	44
44	35	43
45	36	42
46	36	41
47	37	40
48	37	39
49	38	38
50	38	37
51	39	36
52	39	35
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	42	29
59	43	28
60	43	27
61	44	26
62	44	26
63	45	25
64	45	24
65	46	23
66	46	23
67	47	22
68	47	21
69	48	20
70	48	19
71	49	19
72	49	18
73	50	17
74	50	16
75	51	16
76	51	15
77	52	14
78	52	14
79	53	13
80	53	12
81	54	11
82	54	11
83	55	10
84	55	9
85	56	9
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	62	0
99	63	0
